server_ts,client_ts,client_addr,visitor_id,session_id,location,referer,user_agent,type,visitor_params,session_params,event_params,br_width,br_height,sc_width,sc_height,br_lang,tz_off
2014-03-06T17:25:18.362,2014-03-06T17:25:18.290,92.129.151.140,850eed718e7a3f1,f75314b1e32c15e,http://www.dataiku.com/company/team/,http://www.dataiku.com/products/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",page,null,null,,1920,910,1920,1080,fr,-60
2014-03-06T17:25:19.650,2014-03-06T17:25:19.591,92.129.151.140,850eed718e7a3f1,f75314b1e32c15e,http://www.dataiku.com/company/careers/,http://www.dataiku.com/company/team/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",page,null,null,,1920,910,1920,1080,fr,-60
2014-03-06T17:26:06.344,2014-03-06T17:26:06.245,92.129.151.140,850eed718e7a3f1,f75314b1e32c15e,http://www.dataiku.com/products/trynow/,http://www.dataiku.com/products/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",page,null,null,,1920,910,1920,1080,fr,-60
2014-03-06T17:26:10.398,2014-03-06T17:26:10.349,92.129.151.140,850eed718e7a3f1,f75314b1e32c15e,http://www.dataiku.com/products/pricing/,http://www.dataiku.com/products/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",page,null,null,,1920,910,1920,1080,fr,-60
2014-03-06T17:26:18.654,2014-03-06T17:26:18.549,92.129.151.140,850eed718e7a3f1,f75314b1e32c15e,http://www.dataiku.com/products/manage/,http://www.dataiku.com/products/pricing/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",page,null,null,,1920,910,1920,1080,fr,-60
2014-03-06T17:26:20.907,2014-03-06T17:26:20.848,92.129.151.140,850eed718e7a3f1,f75314b1e32c15e,http://www.dataiku.com/products/mining/,http://www.dataiku.com/products/manage/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",page,null,null,,1920,910,1920,1080,fr,-60
2014-03-06T17:26:31.385,2014-03-06T17:26:31.261,92.129.151.140,850eed718e7a3f1,f75314b1e32c15e,http://www.dataiku.com/products/shaker/,http://www.dataiku.com/products/mining/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",page,null,null,,1920,910,1920,1080,fr,-60
2014-03-06T08:15:58.858,2014-03-06T08:15:54.648,84.14.52.140,1505cf315a6bcd8,a6478591bcd9bb1,http://www.dataiku.com/blog/,http://www.dataiku.com/solutions/ecommerce/,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",page,null,null,,1024,708,1360,768,fr,-60
2014-03-06T08:37:40.907,2014-03-06T08:37:42.372,72.14.231.70,1b17b381a85c071,5669ce210bba1f8,http://dataiku.com/blog/2012/12/07/visualizing-your-linkedin-graph-using-gephi-part-1.html,,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",page,null,null,,1366,667,1366,768,en-US,-330
2014-03-06T08:54:06.983,2014-03-06T08:54:11.745,81.200.189.0,c1772ce123eb50e,e0e9b591bfc52b7,http://www.dataiku.com/,,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.73.11 (KHTML, like Gecko) Version/6.1.1 Safari/537.73.11",page,null,null,,1047,1607,1280,800,fr-fr,-60
2014-03-06T11:06:35.121,2014-03-06T11:06:34.550,177.12.20.0,4f0bf6913915c00,aa1042c18cfb14c,http://dataiku.com/blog/2014/01/14/winning-kaggle.html,http://www.datatau.com/,Mozilla/5.0 (X11; Ubuntu; Linux i686; rv:26.0) Gecko/20100101 Firefox/26.0,page,null,null,,1366,599,1366,768,pt-BR,180
2014-03-06T11:07:54.700,2014-03-06T11:07:54.541,82.219.15.40,9e79fe11a2b75fb,6fe820e1d59d21e,http://www.dataiku.com/applications/,http://www.dataiku.com/company/team/,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",page,null,null,,1366,653,1366,768,fr,0
2014-03-06T11:07:59.998,2014-03-06T11:07:59.916,82.219.15.40,9e79fe11a2b75fb,6fe820e1d59d21e,http://www.dataiku.com/applications/smartcities/,http://www.dataiku.com/applications/,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",page,null,null,,1366,653,1366,768,fr,0
2014-03-06T11:15:41.878,2014-03-06T11:15:44.601,72.14.231.70,1b17b381a85c071,9e026d01b015f06,http://dataiku.com/blog/2012/12/07/visualizing-your-linkedin-graph-using-gephi-part-1.html,,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",page,null,null,,1366,624,1366,768,en-US,-330
2014-03-06T11:15:57.036,2014-03-06T11:15:59.998,72.14.231.70,1b17b381a85c071,9e026d01b015f06,http://dataiku.com/blog/2012/12/07/visualizing-your-linkedin-graph-using-gephi-part-1.html,,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",page,null,null,,1366,624,1366,768,en-US,-330
2014-03-06T13:35:57.567,2014-03-06T13:36:10.340,94.122.38.130,16ee4bd1633f580,1b1181b15bac9bd,http://www.dataiku.com/blog/2014/01/14/winning-kaggle.html,http://www.dataiku.com/blog/2014/01/,Mozilla/5.0 (Windows NT 6.2; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0,page,null,null,,1366,644,1366,768,tr-TR,-120
2014-03-06T13:36:52.603,2014-03-06T13:36:52.463,91.213.82.50,ddcb7921adc5fe6,3627fba18164205,http://www.dataiku.com/company/careers/,,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",page,null,null,,672,578,1920,1080,fr,-60
2014-03-06T15:02:39.750,2014-03-06T15:02:39.688,"10.40.246.28, 160.92.7.60",7f2b49512e2ea88,64e387813be3343,http://www.dataiku.com/,,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.146 Safari/537.36",page,null,null,,1280,866,1280,1024,fr,-60
2014-03-06T17:11:59.901,2014-03-06T17:12:03.397,91.90.102.210,113165b1472e215,0f82a651f8a9381,http://dataiku.com/applications/,http://dataiku.com/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",page,null,null,,1440,779,1440,900,fr,-60
2014-03-06T17:12:55.663,2014-03-06T17:12:59.149,91.90.102.210,113165b1472e215,0f82a651f8a9381,http://dataiku.com/products/,http://dataiku.com/applications/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",page,null,null,,1440,779,1440,900,fr,-60
2014-03-06T17:12:58.810,2014-03-06T17:13:02.313,91.90.102.210,113165b1472e215,0f82a651f8a9381,http://dataiku.com/company/team/,http://dataiku.com/products/,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/33.0.1750.117 Safari/537.36",page,null,null,,1440,743,1440,900,fr,-60
2014-03-06T17:17:25.873,2014-03-06T17:17:25.831,88.183.40.150,b0a69171bfb40a9,4d3c97c1df0342c,http://www.dataiku.com/,"http://www.google.fr/url?sa=t&rct=j&q=&esrc=s&frm=1&source=web&cd=1&sqi=2&ved=0CCwQFjAA&url=http%3A%2F%2Fwww.dataiku.com%2F&ei=n60YU5iwOaroywP_7oGIDQ&usg=AFQjCNFbYFPWucGq2yCvV--HTv_9VuvqQg&bvm=bv.62577051,d.bGQ",Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.1; Win64; x64; Trident/5.0),page,null,null,,1366,599,1366,768,fr,-60
2014-03-06T18:09:11.607,2014-03-06T18:09:14.888,137.50.202.0,31625c41e781285,4ac5a6b1b084272,http://dataiku.com/,,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0,page,null,null,,1920,952,1920,1080,en-US,0
2014-03-06T18:09:14.293,2014-03-06T18:09:17.922,137.50.202.0,31625c41e781285,4ac5a6b1b084272,http://dataiku.com/company/team/,http://dataiku.com/,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0,page,null,null,,1920,952,1920,1080,en-US,0
2014-03-06T18:09:16.406,2014-03-06T18:09:20.087,137.50.202.0,31625c41e781285,4ac5a6b1b084272,http://dataiku.com/applications/,http://dataiku.com/company/team/,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0,page,null,null,,1920,952,1920,1080,en-US,0
2014-03-06T18:09:18.489,2014-03-06T18:09:22.154,137.50.202.0,31625c41e781285,4ac5a6b1b084272,http://dataiku.com/applications/freemium/,http://dataiku.com/applications/,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0,page,null,null,,1920,952,1920,1080,en-US,0
2014-03-06T18:09:19.211,2014-03-06T18:09:22.888,137.50.202.0,31625c41e781285,4ac5a6b1b084272,http://dataiku.com/applications/advertising/,http://dataiku.com/applications/freemium/,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0,page,null,null,,1920,952,1920,1080,en-US,0
2014-03-06T18:09:19.852,2014-03-06T18:09:23.532,137.50.202.0,31625c41e781285,4ac5a6b1b084272,http://dataiku.com/applications/publishing/,http://dataiku.com/applications/advertising/,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0,page,null,null,,1920,952,1920,1080,en-US,0
2014-03-06T18:09:20.615,2014-03-06T18:09:24.284,137.50.202.0,31625c41e781285,4ac5a6b1b084272,http://dataiku.com/applications/revenue_forecast/,http://dataiku.com/applications/publishing/,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0,page,null,null,,1920,952,1920,1080,en-US,0
2014-03-06T18:09:21.350,2014-03-06T18:09:25.032,137.50.202.0,31625c41e781285,4ac5a6b1b084272,http://dataiku.com/applications/smartcities/,http://dataiku.com/applications/revenue_forecast/,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0,page,null,null,,1920,952,1920,1080,en-US,0
2014-03-06T18:09:22.520,2014-03-06T18:09:26.202,137.50.202.0,31625c41e781285,4ac5a6b1b084272,http://dataiku.com/applications/ecommerce/,http://dataiku.com/applications/smartcities/,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0,page,null,null,,1920,952,1920,1080,en-US,0
2014-03-06T18:09:24.112,2014-03-06T18:09:27.791,137.50.202.0,31625c41e781285,4ac5a6b1b084272,http://dataiku.com/products/,http://dataiku.com/applications/ecommerce/,Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0,page,null,null,,1920,952,1920,1080,en-US,0
