DJ	RG	RDF	RD	Tm	HR	Vv	NHL	Abateria
94	5,5	2,2	5,4	15	64	2	12,5	9,3
95	5,3	2,4	4,7	15	63	2	12,5	8,581
96	5,3	2,4	4,8	15	63	2	12,5	9,06
97	5,1	2,5	4,2	15	63	2	12,5	9,786
98	5,6	2,3	5,5	15	63	2	12,5	10,412
99	5,5	2,4	4,9	15	64	2	12,5	9,191
100	5,3	2,6	4,3	15	65	2	12,5	8,221
101	5,4	2,5	4,6	15	64	2	12,5	9,248
102	5,6	2,5	4,9	15	64	2	13	11,372
103	5,7	2,4	5,4	15	64	2	13	8,86
104	5,6	2,5	5	16	64	2	13	10,506
105	5,4	2,6	4,2	16	65	2	13	9,618
106	5,5	2,6	4,4	16	64	2	13	10,823
107	6	2,4	5,8	16	64	2	13	10,814
108	6,1	2,3	5,9	16	64	2	13	10,849
109	6	2,4	5,5	16	63	2	13,5	9,828
110	6	2,4	5,6	17	62	2	13,5	10,136
111	6,3	2,3	6,3	17	61	2	13,5	9,963
112	5,6	2,6	4,5	17	60	2	13,5	10,442
113	6,3	2,3	6,2	18	60	2	13,5	11,038
114	6,4	2,3	6,2	18	60	2	13,5	12,382
115	6,7	2,1	7,2	18	59	2	13,5	10,978
116	6,2	2,5	5,7	18	58	2	13,5	10,335
117	6,2	2,5	5,7	18	58	2	13,5	11,369
118	6,1	2,6	5,4	18	58	2	13,5	11,12
119	6,4	2,4	6,1	18	58	2	13,5	10,46
120	6,6	2,4	6,4	17	57	2	13,5	10,756
121	5,7	2,8	4,2	17	59	2	13,5	9,303
122	6,2	2,7	5,2	17	60	2	13,5	12,088
123	6,1	2,7	5	16	61	2	13,5	8,686
124	6,5	2,5	6	16	62	2	13,5	12,963
125	5,7	3	4	16	63	2	13,5	9,211
126	5,8	3	4,1	16	62	2	13,5	8,269
127	5,7	3	3,9	16	62	2	13,5	10,36
128	6,2	2,8	4,8	17	62	2	13,5	9,748
129	6,1	2,9	4,8	17	61	2	13,5	11,208
130	6	2,9	4,4	18	61	2	13,5	11,137
131	6,3	2,8	5	18	60	2	13,5	9,365
132	6,6	2,6	5,9	19	60	2	13,5	10,966
133	6,5	2,7	5,5	19	58	2	13,5	10,341
134	6,5	2,7	5,8	20	56	2	13,5	10,308
135	7	2,4	7,1	21	54	2	13,5	9,818
136	6,9	2,5	6,9	21	53	2	13,5	12,261
137	6,7	2,6	6,4	21	53	2	13,5	11,369
138	6,9	2,5	6,9	22	53	2	13,5	10,952
139	6,6	2,7	6	22	52	2	14	12,414
140	6,9	2,6	6,8	22	50	2	14	11,729
141	7,2	2,3	7,7	22	49	2	14	10,127
142	7,2	2,4	7,6	22	47	2	14	11,323
143	7,3	2,3	7,9	22	45	2	14	11,6
144	7,2	2,3	7,6	23	44	2	14	12,247
145	7,3	2,3	7,9	23	42	2	14	10,202
146	7,3	2,3	7,9	23	42	2	14	12,972
147	7,6	2,1	8,5	23	42	2	14	13,147
148	7,8	2	9,1	23	42	2	14	12,085
149	7,6	2,2	8,5	24	43	2	14	12,835
150	7,4	2,3	8,1	24	43	2	14	12,134
151	7,3	2,4	7,7	24	44	2	14	10,841
152	7,2	2,5	7,3	24	44	2	14	10,788
153	7,6	2,2	8,3	24	45	2	14	10,715
154	7,7	2,1	8,7	24	46	2	14,5	11,415
155	7,2	2,5	7,3	24	47	2	14,5	13,302
156	7,1	2,5	7,1	24	48	2	14,5	12,039
157	7,5	2,3	8,1	24	47	2	14,5	12,462
158	7,5	2,3	7,9	25	46	2	14,5	12,953
159	7,8	2,1	8,8	25	44	2	14,5	11,393
160	7,6	2,2	8,3	25	43	2	14,5	11,037
161	7,5	2,3	8	26	42	2	14,5	12,789
162	7,8	2,1	9	26	42	2	14,5	14,56
163	7,7	2,2	8,5	26	43	2	14,5	11,779
164	7,6	2,3	8,3	26	42	2	14,5	12,584
165	7,6	2,3	8,3	26	42	2	14,5	11,887
166	7,8	2,1	8,9	27	41	2	14,5	13,842
167	7,6	2,3	8,2	27	41	2	14,5	13,04
168	7,9	2	9,1	27	41	2	14,5	12,373
169	7,9	2	9,1	27	41	2	14,5	12,742
170	7,9	2	9,3	27	42	2	14,5	11,855
171	8	1,9	9,5	27	43	2	14,5	14,13
172	7,8	2,1	8,8	27	44	2	14,5	11,941
173	8	2	9,3	27	44	2	14,5	13,774
174	8	1,9	9,5	26	44	2	14,5	14,155
175	7,9	2	9,2	26	45	2	14,5	14,066
176	7,4	2,4	7,6	26	46	2	14,5	12,109
177	7,7	2,2	8,4	26	47	2	14,5	12,731
178	7,7	2,2	8,5	25	47	2	14,5	12,874
179	7,7	2,2	8,5	25	47	2	14,5	12,371
180	7,8	2	9	25	47	2	14,5	14,249
181	7,6	2,3	8,2	25	47	2	14,5	12,411
182	7,4	2,4	7,8	25	46	2	14,5	13,67
183	7,8	2,1	8,9	25	45	2	14,5	11,755
184	7,7	2,1	8,7	26	45	2	14,5	11,36
185	7,9	2	9,1	26	45	2	15	13,871
186	7,9	1,9	9,3	26	44	2	15	14,513
187	7,9	1,9	9,5	27	43	2	15	12,607
188	7,7	2,1	8,7	27	42	2	15	13,593
189	7,7	2,1	8,8	27	43	2	15	14,687
190	7,9	1,8	9,6	27	43	2	15	12,559
191	7,8	2	9	27	43	2	15	12,703
192	7,7	2	9	27	42	2	15	11,892
193	7,8	2	9,1	27	41	2	15	13,127
194	7,7	2	9	27	40	2	15	12,244
195	7,7	2	8,9	27	39	2	15	13,679
196	7,6	2,1	8,6	27	38	2	15	13,269
197	7,8	1,9	9,3	27	38	2	15	14,509
198	7,8	1,9	9,2	27	38	2	15	12,557
199	7,7	1,9	9,3	26	39	2	15	13,526
200	7,7	1,9	9,3	26	38	2	15	13,028
201	7,6	2	8,8	27	38	2	15	12,184
202	7,7	1,9	9,2	27	37	2	15	14,976
203	7,7	1,8	9,4	27	38	2	15	12,322
204	7,6	1,9	9,2	27	38	2	15	11,42
205	7,6	1,9	9,2	28	39	2	15	14,434
206	7,5	2	8,9	28	40	2	15	13,35
207	7,4	2,1	8,4	28	41	2	15	13,273
208	7,4	2	8,6	28	41	2	15	13,29
209	7,3	2,1	8,3	28	41	2	15	14,713
210	7,4	2	8,7	29	41	2	15	14,893
211	7,1	2,2	7,9	29	40	2	15	13,112
212	7,2	2,1	7,7	29	39	2	15	11,876
213	7,3	2	7,9	29	39	2	15	12,748
214	7,3	2	7,9	29	39	2	15	12,181
215	7,2	2	7,8	29	39	2	15	15,019
216	7,1	2,1	7,3	29	39	2	15	14,078
217	7,1	2	7,6	29	39	2	15	14,085
218	7,2	1,9	7,9	29	39	2	15	13,504
219	7,2	1,9	8,1	29	38	2	15	11,813
220	7,1	2	7,7	29	37	2	15	13,118
221	7	2	7,4	29	38	2	15	12,034
222	7	2	7,6	29	40	2	15	14,883
223	7	2	7,6	29	41	2	15	13,578
224	6,9	2	7,5	29	41	2	15	13,227
225	7	1,9	7,7	28	42	2	15	12,625
226	7	1,8	8	28	43	2	15	12,472
227	6,9	1,9	7,6	28	43	2	15	11,208
228	6,9	1,8	7,9	28	43	2	15	13,957
229	7	1,8	8,1	28	42	2	14,5	13,657
230	7	1,7	8,2	27	43	2	14,5	13,076
231	6,9	1,8	8,1	27	44	2	14,5	13,611
232	6,8	1,8	7,8	27	45	2	14,5	14,449
233	6,7	1,8	7,7	26	45	2	14,5	11,957
234	6,6	1,9	7,4	26	46	2	14,5	12,85
235	6,5	1,9	7,3	26	46	2	14,5	11,457
236	6,4	2	6,9	26	47	2	14,5	13,02
237	6,3	2,1	6,6	26	47	2	14,5	11,663
238	6,4	2	7,1	26	48	2	14,5	13,287
239	6,5	1,9	7,4	25	49	2	14,5	9,987
240	6,4	1,8	7,5	25	49	2	14,5	9,309
241	6,3	1,9	7,1	25	50	2	14,5	11,459
242	6,2	1,9	7	25	50	2	14,5	12,557
243	6,3	1,8	7,4	25	50	2	14,5	11,78
244	6,3	1,8	7,4	25	50	2	14,5	11,576
245	6,3	1,7	7,7	25	50	2	14,5	10,599
246	6,3	1,7	7,8	25	49	2	14,5	13,181
247	6	1,9	6,9	25	50	2	14,5	12,076
248	6,1	1,8	7,2	25	50	2	14,5	12,667
249	6,1	1,8	7,3	24	49	2	14,5	10,355
250	5,9	1,8	7	24	49	2	14,5	11,853
251	6,1	1,7	7,6	24	49	2	14,5	13,253
252	5,9	1,8	7,1	24	49	2	14,5	11,084
253	5,7	1,9	6,5	24	49	2	14,5	12,354
254	5,6	1,9	6,4	24	49	2	14	13,534
255	5,6	1,9	6,5	24	50	2	14	10,59
256	5,6	1,9	6,5	24	52	2	14	12,043
257	5,4	2	6	24	53	2	14	13,044
258	5,6	1,8	6,8	24	54	2	14	11,899
259	5,2	2	5,5	24	56	2	14	11,258
260	5,2	2	5,7	24	58	2	13,5	10,334
261	4,8	2,2	4,6	23	60	2	13,5	10,375
262	4,6	2,2	4,2	23	62	2	13,5	10,574
263	4,9	2,1	5	23	63	2	13,5	10,406
264	4,6	2,2	4,3	22	63	2	13,5	11,318
265	4,9	2	5,3	22	62	2	13,5	13,768
266	4,8	2	4,8	22	62	2	13,5	11,077
267	4,9	1,9	5,2	22	63	2	13,5	13,381
268	4,7	2	4,7	22	64	2	13,5	10,128
269	4,7	1,9	4,8	22	66	2	13,5	12,272
270	4,4	2,1	4	21	66	2	13,5	10,643
271	4,3	2,1	3,6	22	65	2	13,5	10,638
272	4,2	2,1	3,6	22	64	2	13,5	11,187
273	4,2	2,1	3,7	22	62	2	12,5	11,143
274	4,2	2	3,9	22	62	2	12,5	9,322
275	4,2	2	3,9	21	63	2	12,5	10,232
276	4,4	1,9	4,5	21	64	2	12,5	9,534
277	4,1	2	3,8	21	63	2	12,5	11,875
278	4,2	1,9	4,3	20	63	2	12,5	9,047
279	3,8	2,1	3,2	20	63	2	12,5	9,693
280	4,2	1,8	4,3	20	63	2	12,5	8,848
281	4,1	1,9	4,2	20	63	2	12,5	11,283
282	4,2	1,8	4,6	19	64	2	12,5	11,905
283	3,9	1,9	3,8	19	66	2	12,5	8,286
284	3,8	1,9	3,6	19	68	2	12,5	10,682
285	3,7	1,9	3,4	18	69	2	12,5	10,367
286	3,8	1,8	3,8	18	69	2	12,5	9,027
287	3,8	1,8	3,8	18	70	2	12,5	8,503
288	3,7	1,8	3,7	18	72	2	12,5	9,948
289	3,3	1,9	2,6	18	73	2	12,5	10,181
290	3,6	1,8	3,6	18	74	2	12,5	10,574
291	3,5	1,8	3,2	18	74	2	12,5	10,354
292	3,4	1,8	3	18	73	2	12,5	10,371
293	3	1,9	2,2	17	74	2	12,5	10,228
294	3,3	1,8	2,9	17	73	2	12,5	8,962
295	3,5	1,7	3,7	17	73	2	12,5	8,521
296	3,5	1,6	3,9	17	73	2	12,5	9,848
297	3,4	1,7	3,5	18	72	2	11,5	8,271
298	3,4	1,6	3,8	17	72	2	11,5	9,387
299	3,3	1,6	3,6	17	71	2	11,5	9,737
300	3,5	1,5	4,3	17	70	2	11,5	9,348
301	3,5	1,5	4,4	17	70	2	11,5	9,664
302	3,5	1,4	4,7	17	70	2	11,5	9,045
303	3,4	1,5	4,4	17	70	2	10,5	8,534
304	3,2	1,5	3,9	17	70	2	10,5	8,303
305	3,3	1,5	4,2	16	70	2	10,5	9,239
306	2,9	1,6	2,7	16	70	2	10,5	7,758
307	3	1,5	3,5	16	71	2	10,5	7,945
308	2,8	1,6	2,7	15	71	2	10,5	9,748
309	2,8	1,6	2,9	15	70	2	10,5	6,988
310	3	1,5	3,7	14	70	2	10,5	9,064
311	3	1,4	3,7	14	71	2	10,5	7,734
312	2,9	1,4	3,6	14	72	2	10,5	7,722
313	2,7	1,5	2,9	14	72	2	10	8,507
314	2,9	1,4	3,7	13	72	2	10	7,848
315	2,6	1,5	2,7	13	72	2	10	7,431
316	2,7	1,4	3	12	72	2	10	6,281
317	2,5	1,5	2,6	12	73	2	10	9,866
318	2,8	1,3	3,7	12	73	2	10	7,455
319	2,8	1,3	3,5	12	74	2	10	9,289
320	2,5	1,4	2,6	12	75	2	10	6,189
321	2,6	1,4	2,8	12	77	2	10	7,904
322	2,7	1,3	3,3	12	77	2	10	9,663
323	2,4	1,4	2,4	12	77	2	10	6,336
324	2,4	1,4	2,5	12	78	2	10	8,677
325	2,3	1,4	2,3	12	79	2	10	5,907
326	2,1	1,4	1,7	12	79	2	10	6,796
327	2,4	1,3	2,8	12	79	2	10	8,978
328	2,3	1,3	2,2	12	79	2	10	7,737
329	2,1	1,4	1,8	12	80	2	10	6,811
330	2,2	1,3	2,2	12	80	2	10	7,76
331	2,2	1,3	2,3	12	80	2	10	8,533
332	2,5	1,2	3,2	12	80	2	9,5	8,728
333	2,3	1,2	2,8	11	80	2	9,5	6,639
334	2,4	1,2	3,2	11	80	2	9,5	8,352
335	2,2	1,3	2,5	11	79	2	9,5	6,135
336	2,3	1,2	2,7	11	78	2	9,5	8,756
337	2,3	1,2	2,7	11	78	2	9,5	7,829
338	2	1,3	1,9	11	79	2	9,5	5,943
339	2,2	1,2	2,5	11	79	2	9,5	7,877
340	2,2	1,2	2,5	11	78	2	9,5	8,81
341	2,2	1,2	2,5	10	78	2	9,5	8,548
342	2,1	1,2	2,2	11	78	2	9,5	4,993
343	1,9	1,3	1,8	11	78	2	9,5	6,03
344	2,2	1,2	2,9	11	78	2	9,5	5,314
345	2,1	1,2	2,5	11	77	2	9,5	7,658
346	2	1,2	2,1	11	77	2	9,5	7,33
347	2,1	1,2	2,6	11	78	2	9,5	6,313
348	2,1	1,2	2,5	11	78	2	9,5	7,467
349	2	1,2	2,3	11	78	2	9,5	7,61
350	2	1,2	2,2	11	78	2	9,5	6,992
351	2	1,2	2,1	11	78	2	9,5	6,948
352	2	1,2	2	11	78	2	9,5	6,054
353	1,9	1,2	1,8	11	79	2	9,5	7,717
354	2	1,2	2,1	10	79	2	9,5	6,709
355	1,9	1,2	1,8	10	80	2	9,5	7,85
356	1,9	1,2	1,7	11	80	2	9,5	6,391
357	1,8	1,2	1,4	10	81	2	9,5	7,956
358	2	1,2	2	10	81	2	9,5	6,202
359	1,9	1,2	1,9	10	81	2	9,5	5,713
360	2	1,2	2,3	10	81	2	9,5	5,983
361	1,9	1,2	1,8	10	82	2	9,5	8,485
362	1,9	1,2	1,7	10	82	2	9,5	6,521
363	1,7	1,2	1	11	83	2	9,5	8,458
364	1,6	1,2	1	11	83	2	9,5	6,399
365	1,8	1,3	1,3	11	83	2	9,5	6,142
